t,theta,omega
0.0,3.0,2.0
0.001,3.0020010003314184,1.9986093462544743
0.002,3.004000609313534,1.9972382147130114
0.003,3.005998846478315,1.9958865973661366
0.004,3.0079957313497165,1.994554486304388
0.005,3.0099912834437803,1.993241873718764
0.006,3.0119855222687346,1.9919487519011612
0.007,3.0139784673250962,1.9906751132448062
0.008,3.015970138105771,1.9894209502446805
0.009,3.0179605540961565,1.988186255497937
0.01,3.019949734774243,1.986971021704311
0.011,3.0219376996107177,1.9857752416665226
0.012,3.0239244680690662,1.9845989082906728
0.013,3.0259100596056774,1.9834420145866325
0.014,3.027894493669946,1.982304553668425
0.015,3.0298777897043774,1.9811865187546003
0.016,3.031859967144692,1.9800879031686038
0.017,3.033841045419931,1.9790087003391377
0.018,3.0358210439525606,1.977948903800515
0.019,3.0377999821585773,1.9769085071930073
0.02,3.039777879447616,1.9758875042631863
0.021,3.041754755223054,1.974885888864257
0.022,3.0437306288821193,1.9739036549563864
0.023,3.0457055198159972,1.9729407966070225
0.024,3.047679447409937,1.9719973079912099
0.025,3.0496524310433606,1.9710731833918966
0.026,3.0516244900899694,1.9701684172002356
0.027,3.0535956439178533,1.9692830039158782
0.028,3.0555659118895995,1.9684169381472623
0.029,3.0575353133624006,1.967570214611894
0.03,3.0595038676881643,1.9667428281366222
0.031,3.0614715942136224,1.9659347736579065
0.032,3.063438512280441,1.9651460462220798
0.033,3.065404641225329,1.9643766409856032
0.034,3.0673700003801505,1.9636265532153154
0.035,3.0693346090720337,1.9628957782886758
0.036,3.0712984866234816,1.9621843116940003
0.037,3.0732616523524836,1.9614921490306918
0.038,3.075224125572626,1.9608192860094638
0.039,3.0771859255932044,1.960165718452558
0.04,3.079147071719334,1.9595314422939558
0.041,3.0811075832520616,1.9589164535795829
0.042,3.0830674794884785,1.9583207484675087
0.043,3.085026779721832,1.9577443232281384
0.044,3.086985503241638,1.9571871742444
0.045,3.0889436693337937,1.9566492980119243
0.046,3.0909012972806895,1.9561306911392191
0.047,3.0928584063613234,1.955631350347837
0.048,3.0948150158514127,1.9551512724725382
0.049,3.0967711450235083,1.9546904544614452
0.05,3.098726813147107,1.9542488933761937
0.051,3.100682039488767,1.9538265863920756
0.052,3.102636843312219,1.9534235307981769
0.053,3.104591243878483,1.953039723997509
0.054,3.106545260445979,1.952675163507135
0.055,3.1084989122706443,1.9523298469582888
0.056,3.1104522186060453,1.952003772096489
0.057,3.1124051987034926,1.9516969367816457
0.058,3.1143578718121567,1.9514093389881637
0.059,3.116310257179181,1.9511409768050367
0.06,3.1182623740497966,1.9508918484359379
0.061,3.1202142416674374,1.9506619521993032
0.062,3.1221658792738554,1.9504512865284096
0.063,3.124117306109235,1.9502598499714467
0.064,3.1260685414123075,1.9500876411915828
0.065,3.128019604420467,1.9499346589670252
0.066,3.129970514369886,1.9498009021910736
0.067,3.131921290495628,1.9496863698721694
0.068,3.1338719520317664,1.949591061133937
0.069,3.135822518211496,1.9495149752152217
0.07,3.1377730082672515,1.9494581114701182
0.071,3.1397234414308204,1.9494204693679973
0.072,3.1416738369334603,1.9494020484935233
0.073,3.143624214006012,1.9494028485466677
0.074,3.145574591879017,1.9494228693427156
0.075,3.1475249897828315,1.9494621108122674
0.076,3.149475426947743,1.9495205730012337
0.077,3.1514259226040844,1.949598256070825
0.078,3.1533764959823496,1.9496951602975345
0.079,3.1553271663133096,1.9498112860731167
0.08,3.1572779528281276,1.9499466339045586
0.081,3.1592288747584734,1.9501012044140453
0.082,3.1611799513366394,1.9502749983389207
0.083,3.163131201795656,1.9504680165316406
0.084,3.1650826453694068,1.9506802599597217
0.085,3.167034301292742,1.9509117297056837
0.086,3.1689861888015964,1.9511624269669852
0.087,3.1709383271331024,1.9514323530559547
0.088,3.1728907355257054,1.9517215093997151
0.089,3.1748434332192783,1.9520298975401018
0.09,3.1767964394552366,1.952357519133576
0.091,3.178749773476653,1.9527043759511313
0.092,3.1807034545283734,1.9530704698781942
0.093,3.1826575018571286,1.9534558029145195
0.094,3.18461193471165,1.9538603771740783
0.095,3.1865667723427857,1.9542841948849423
0.096,3.188522034003611,1.954727258389159
0.097,3.1904777389495456,1.9551895701426245
0.098,3.1924339064384664,1.9556711327149467
0.099,3.1943905557308203,1.9561719487893057
0.1,3.19634770608974,1.9566920211623053
0.101,3.1983053767811547,1.9572313527438212
0.102,3.200263587073906,1.9577899465568405
0.103,3.20222235623986,1.9583678057372973
0.104,3.20418170355402,1.9589649335339012
0.105,3.2061416482946394,1.9595813333079595
0.106,3.208102209743335,1.9602170085331936
0.107,3.2100634071851983,1.9608719627955493
0.108,3.21202525990891,1.9615461997930015
0.109,3.2139877872068494,1.9622397233353512
0.11,3.2159510083752076,1.962952537344018
0.111,3.2179149427140996,1.963684645851825
0.112,3.219879609527675,1.9644360530027785
0.113,3.2218450281242297,1.9652067630518413
0.114,3.223811217816316,1.9659967803646987
0.115,3.225778197920855,1.96680610941752
