t,theta,omega
0.0,2.0,0.0
0.001,2.0,-0.0033858916831246088
0.002,1.9999966124148065,-0.0067717833662492176
0.003,1.9999898372444196,-0.010157680279256821
0.004,1.999979674483607,-0.013543587651913574
0.005,1.9999661241219033,-0.01692951071376004
0.006,1.9999491861436118,-0.020315454694002415
0.007,1.9999288605278036,-0.02370142482140377
0.008,1.9999051472483185,-0.027087426324175268
0.009,1.9998780462737653,-0.03047346442986738
0.01,1.999847557567523,-0.0338595443652611
0.011,1.9998136810877407,-0.037245671356259114
0.012,1.9997764167873395,-0.040631850627777
0.013,1.9997357646140128,-0.04401808740363438
0.014,1.9996917245102273,-0.04740438690644605
0.015,1.9996442964132246,-0.05079075435751311
0.016,1.9995934802550226,-0.054177194976714055
0.017,1.9995392759624167,-0.05756371398239586
0.018,1.9994816834569809,-0.060950316591265014
0.019,1.9994207026550703,-0.06433700801827853
0.02,1.9993563334678224,-0.06772379347653495
0.021,1.999288575801159,-0.07111067817716529
0.022,1.9992174295557879,-0.07449766732922394
0.023,1.9991428946272054,-0.07788476613957959
0.024,1.9990649709056987,-0.08127197981280604
0.025,1.9989836582763472,-0.084659313551073
0.026,1.9988989566190258,-0.0880467725540369
0.027,1.9988108658084074,-0.09143436201873154
0.028,1.9987193857139647,-0.09482208713945879
0.029,1.9986245161999738,-0.09820995310767924
0.03,1.9985262571255171,-0.10159796511190275
0.031,1.9984246083444854,-0.10498612833757895
0.032,1.9983195697055816,-0.10837444796698774
0.033,1.9982111410523236,-0.11176292917912968
0.034,1.9980993222230479,-0.11515157714961635
0.035,1.9979841130509128,-0.11854039705056067
0.036,1.997865513363902,-0.12192939405046707
0.037,1.9977435229848277,-0.12531857331412172
0.038,1.9976181417313352,-0.12870794000248256
0.039,1.997489369415906,-0.13209749927256947
0.04,1.9973572058458617,-0.13548725627735406
0.041,1.9972216508233693,-0.1388772161656497
0.042,1.9970827041454435,-0.1422673840820012
0.043,1.9969403656039522,-0.1456577651665748
0.044,1.9967946349856205,-0.14904836455504758
0.045,1.9966455120720354,-0.15243918737849715
0.046,1.9964929966396503,-0.1558302387632912
0.047,1.9963370884597893,-0.15922152383097685
0.048,1.9961777872986526,-0.16261304769817006
0.049,1.9960150929173215,-0.16600481547644483
0.05,1.9958490050717628,-0.1693968322722224
0.051,1.9956795235128344,-0.1727891031866603
0.052,1.9955066479862906,-0.17618163331554135
0.053,1.9953303782327874,-0.17957442774916252
0.054,1.9951507139878877,-0.18296749157222375
0.055,1.9949676549820672,-0.18636082986371666
0.056,1.9947812009407204,-0.1897544476968131
0.057,1.994591351584166,-0.19314835013875364
0.058,1.9943981066276526,-0.19654254225073603
0.059,1.9942014657813651,-0.19993702908780342
0.06,1.9940014287504315,-0.20333181569873252
0.061,1.9937979952349276,-0.20672690712592168
0.062,1.9935911649298848,-0.2101223084052789
0.063,1.993380937525296,-0.21351802456610963
